revision	construction	test_type	accuracy	delta_surps	delta_surps_and	delta_accuracy	delta_accuracy_zscale
step128	let alone	Avg_Control	0.0	0.0836767350222119	0.2404611818009154	0.0	-0.1348642181817545
step128	much less	NPI	0.9971799210377892	0.1022134378544032	0.0344649918390006	0.00451212633953757	-0.11034746614404328
step128	much less	Pseudocleft	0.0637337845459672	-0.172891056342644	-0.1092094874825776	-0.057529610829103295	-0.4474528066625685
step128	much less	CP Conjunction	0.0	-0.1651073852233542	0.0094522692964901	0.0	-0.1348642181817545
step128	much less	VP Conjunction	0.0	0.226804355410486	0.3577159334560336	0.0	-0.1348642181817545
step128	much less	VP Gap Conjunction	0.0	-0.0004171859861697	0.1232064301457972	0.0	-0.1348642181817545
step128	much less	Avg_Test	0.3536379018612521	-0.0785950012371983	-0.0217640754490289	-0.017672494829855223	-0.23088816366278864
step128	much less	Avg_Control	0.0	0.1131935847121581	0.2404611818009154	0.0	-0.1348642181817545
step128	not to mention	NPI	0.4918217710095883	0.0527403191933844	0.0344649918390006	-0.3728144388042865	-2.1605608552976148
step128	not to mention	Pseudocleft	0.1675126903553299	-0.1584429262185997	-0.1092094874825776	-0.7580372250423013	-4.253678560517181
step128	not to mention	CP Conjunction	0.015228426395939	-0.1086814429083585	0.0094522692964901	-0.0050761421319797	-0.16244556422417925
step128	not to mention	VP Conjunction	0.0197405527354765	0.2269657705708271	0.3577159334560336	0.0073322053017484	-0.09502449612047459
step128	not to mention	VP Gap Conjunction	0.0	0.0143412371106693	0.1232064301457972	-0.045121263395375	-0.3800317385588628
step128	not to mention	Avg_Test	0.2248542959202858	-0.0714613499778579	-0.0217640754490289	-0.3786426019928557	-2.1922283266796576
step128	not to mention	Avg_Control	0.0098702763677382	0.1206535038407482	0.2404611818009154	-0.0188945290468134	-0.23752811733966928
step128	never mind	NPI	0.9904117315284828	0.0910714074708752	0.0344649918390006	-0.00958826847151717	-0.1869623162618899
step128	never mind	Pseudocleft	0.0597856739988719	-0.186721594671173	-0.1092094874825776	-0.0530174844895657	-0.4229360546248571
step128	never mind	CP Conjunction	0.0	-0.2420656289747725	0.0094522692964901	0.0	-0.1348642181817545
step128	never mind	VP Conjunction	0.0	0.2015139474347023	0.3577159334560336	0.0	-0.1348642181817545
step128	never mind	VP Gap Conjunction	0.0	-0.0254626174599722	0.1232064301457972	0.0	-0.1348642181817545
step128	never mind	Avg_Test	0.3500658018424516	-0.1125719387250234	-0.0217640754490289	-0.020868584320360872	-0.24825419635616672
step128	never mind	Avg_Control	0.0	0.088025664987365	0.2404611818009154	0.0	-0.1348642181817545
step256	let alone	NPI	0.9892836999435984	0.0967887385175245	0.0214895346846475	0.00958826847151728	-0.08276612010161848
step256	let alone	Pseudocleft	0.0028200789622109	0.4014373979390979	0.5549222934871357	0.0005640157924422001	-0.13179962417704058
step256	let alone	CP Conjunction	0.0	-0.4992815086011892	-0.2284885617345991	0.0	-0.1348642181817545
step256	let alone	VP Conjunction	0.0	0.1582166466817839	0.2742428819943603	0.0	-0.1348642181817545
step256	let alone	VP Gap Conjunction	0.0	-0.0075888851572414	0.1764300120999701	0.0	-0.1348642181817545
step256	let alone	Avg_Test	0.3307012596352698	-0.0003517907148555	0.115974422145728	0.003384094754653122	-0.11647665415347139
step256	let alone	Avg_Control	0.0	0.0753138807622712	0.2253364470471652	0.0	-0.1348642181817545
step256	much less	NPI	0.9921037789058094	0.0830485305743101	0.0214895346846475	-0.005076142131979822	-0.1624455642241799
step256	much less	Pseudocleft	0.0428652002256063	0.4434085333340597	0.5549222934871357	-0.020868584320360907	-0.24825419635616694
step256	much less	CP Conjunction	0.1500282007896221	-0.2765315492073829	-0.2284885617345991	0.1500282007896221	0.6803177870721316
step256	much less	VP Conjunction	0.4467005076142132	0.2722082756632005	0.2742428819943603	0.4467005076142132	2.2922942335516217
step256	much less	VP Gap Conjunction	0.0	0.0823543949847966	0.1764300120999701	0.0	-0.1348642181817545
